paper_year,paper_id,paper_title,paper_authors,paper_language,citation_id,citation_info,citation_year,citation_validity,citation_origin,citation_type,citation_scope,citation_longevity
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,37,"Terceiro, Antonio, Manoel Mendonça, Christina Chavez, and Daniela S. Cruzes. ""Understanding structural complexity evolution: A quantitative analysis."" In 2012 16th European Conference on Software Maintenance and Reengineering, pp. 85-94. IEEE, 2012.",2012,valid,self,conference,international,2
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,38,"Mateos, Cristian, Alejandro Zunino, Sanjay Misra, Diego Anabalon, and Andres Flores. ""Managing web service interface complexity via an OO metric-based early approach."" CLEI Electronic Journal 20, no. 3 (2017): 2.",2017,valid,community_int,journal,international,7
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,39,"Colakoglu, Fatima Nur, Ali Yazici, and Alok Mishra. ""Software product quality metrics: A systematic mapping study."" IEEE Access (2021).",2021,valid,community_int,journal,international,11
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,40,"Rehman, Ifraz, Dong Wang, Raula Gaikovina Kula, Takashi Ishio, and Kenichi Matsumoto. ""Newcomer candidate: Characterizing contributions of a novice developer to github."" In 2020 IEEE International Conference on Software Maintenance and Evolution (ICSME), pp. 855-855. IEEE, 2020.",2020,invalid,community_int,conference,international,
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,41,"Tian, Zonglin, Xiaorui Zhai, Daan van Driel, Gijs van Steenpaal, Mateus Espadoto, and Alexandru Telea. ""Using multiple attribute-based explanations of multidimensional projections to explore high-dimensional data."" Computers & Graphics 98 (2021): 93-104.",2021,valid,community_nat,journal,international,11
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,42,"Martins, Rafael Messias. ""Explanatory visualization of multidimensional prejections."" PhD diss., Universidade de São Paulo, 2016.",2016,valid,community_nat,msc_phd,national_other,6
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,43,"Hegedśs, Péter. ""Advances in Software Product Quality Measurement and its Applications in Software Evolution."" PhD diss., University of Szeged, 2014.",2014,valid,community_int,msc_phd,international,4
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,44,"Meirelles, Paulo, Fabio Kon, and Carlos Santos Jr. ""Semi-Automatic Evaluation of Free Software Projects: A Source Code Perspective."" Salvador, Brazil (2011): 42.",2011,valid,self,conference,national_other,1
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,45,"Santos Jr, Carlos Denner, and Kay M. Nelson. ""MOTIVATION TO CREATE FREE AND OPEN SOURCE PROJECTS AND HOW DECISIONS IMPACT SUCCESS."" Revista Eletrônica de Sistemas de Informação 9, no. 2 (2010).",2010,valid,self,journal,national_other,0
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,46,"Morais, Carlos, Paulo Meirelles, and Eduardo Morais. ""Kalibro Metrics: um serviço para monitoramento e interpretaç ao de métricas de código-fonte."" (2012).",2012,valid,self,conference,national_other,2
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,47,"de Sousa Coelho, Jailton Junior. ""Identifying and characterizing unmaintained projects in GitHub."" (2019).",2019,valid,community_nat,msc_phd,national_other,9
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,48,"Ferreira, Fabio, Luciana Lourdes Silva, and Marco Tulio Valente. ""Turnover in Open-Source Projects: The Case of Core Developers."" In Proceedings of the 34th Brazilian Symposium on Software Engineering, pp. 447-456. 2020.",2020,valid,community_nat,conference,national_sbes,10
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,49,"Ramineni, Kiran, Shireesh Verma, and Ian G. Harris. ""Evaluation of an efficient control-oriented coverage metric."" In 2008 IEEE International High Level Design Validation and Test Workshop, pp. 153-157. IEEE, 2008.",2008,invalid,community_int,conference,international,
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,50,"Grigorio, Francielly, Daniel Brito, Eudisley Anjos, and Mario Zenha-Rela. ""On systems project abandonment: An analysis of complexity during development and evolution of FLOSS systems."" In 2014 IEEE 6th International Conference on Adaptive Science & Technology (ICAST), pp. 1-8. IEEE, 2014.",2014,valid,community_nat,conference,international,4
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,51,"ANTONIO, EA, G. FREIRE, and L. PEDRO. ""Síntese de algumas iniciativas para Definição de um Processo de Desenvolvimento de Software para Sistemas Embarcados Críticos, no âmbito do INCT-SEC."" São Carlos, Brazil:[sn] (2011).",2011,valid,community_nat,other,national_other,1
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,52,"Choa, Arnold, Linda Chua, Kevin See, Alvin Uy, and Danny Cheng. ""ARCHITECTURE FOR INTEGRATING A WEB-BASED IDE AND A PROJECT MANAGEMENT SYSTEM."" (2013).",2013,valid,community_int,conference,international,3
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,53,"de Azevedo Santos, Mariana, Paulo Henrique de Souza Bermejo, and Heitor Costa. ""A Quantitative Study for the Characterization of Internal Quality of Open-Source Object-Oriented Software."" In Anais do XV Simpósio Brasileiro de Qualidade de Software, pp. 421-435. SBC, 2016.",2016,valid,community_nat,conference,national_other,6
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,54,"Zanbar, Alon T., and Gal A. Kaminka. ""Agents are More Complex than Other Software: An Empirical Investigation.""",2019,valid,community_int,conference,international,9
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,55,"Inoue, Katsuro, and Mohan Bian. ""A merge conflict resolution method using source code metrics and development history data."" (2022).",2022,valid,community_int,msc_phd,international,12
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,56,"Mateos Diaz, Cristian Maximiliano, Alejandro Octavio Zunino Suarez, Sanjay Misra, Diego Anabalon, and Andrés Pablo Flores. ""Managing Web Service Interface Complexity via an OO Metric-based Early Approach."" (2017).",2017,valid,community_int,journal,international,7
